8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-101|Short title.|<p>This title shall be known and may be cited as the Uniform Commercial Code -- Leases.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-102|Scope.|<p>This title applies to any transaction, regardless of form, that creates a lease.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-103|Definitions and index of definitions.|<p>(1) In this title unless the context otherwise requires:</p><p>(a) "Buyer in ordinary course of business" means a person who in good faith and without knowledge that the sale to him or her is in violation of the ownership rights or security interest or leasehold interest of a third party in the goods, buys in ordinary course from a person in the business of selling goods of that kind but does not include a pawnbroker. "Buying" may be for cash or by exchange of other property or on secured or unsecured credit and includes acquiring goods or documents of title under a preexisting contract for sale but does not include a transfer in bulk or as security for or in total or partial satisfaction of a money debt.</p><p>(b) "Cancellation" occurs when either party puts an end to the lease contract for default by the other party.</p><p>(c) "Commercial unit" means such a unit of goods as by commercial usage is a single whole for purposes of lease and division of which materially impairs its character or value on the market or in use. A commercial unit may be a single article, as a machine, or a set of articles, as a suite of furniture or a line of machinery, or a quantity, as a gross or carload, or any other unit treated in use or in the relevant market as a single whole.</p><p>(d) "Conforming" goods or performance under a lease contract means goods or performance that are in accordance with the obligations under the lease contract.</p><p>(e) "Consumer lease" means a lease that a lessor regularly engaged in the business of leasing or selling makes to a lessee who is an individual and who takes under the lease primarily for a personal, family, or household purpose.</p><p>(f) "Fault" means wrongful act, omission, breach, or default.</p><p>(g) "Finance lease" means a lease with respect to which:</p><p>(i) The lessor does not select, manufacture, or supply the goods;</p><p>(ii) The lessor acquires the goods or the right to possession and use of the goods in connection with the lease; and</p><p>(iii) One of the following occurs:</p><p>(A) The lessee receives a copy of the contract by which the lessor acquired the goods or the right to possession and use of the goods before signing the lease contract;</p><p>(B) The lessee's approval of the contract by which the lessor acquired the goods or the right to possession and use of the goods is a condition to effectiveness of the lease contract;</p><p>(C) The lessee, before signing the lease contract, receives an accurate and complete statement designating the promises and warranties, and any disclaimers of warranties, limitations or modifications of remedies, or liquidated damages, including those of a third party, such as the manufacturer of the goods, provided to the lessor by the person supplying the goods in connection with or as part of the contract by which the lessor acquired the goods or the right to possession and use of the goods; or</p><p>(D) If the lease is not a consumer lease, the lessor, before the lessee signs the lease contract, informs the lessee in writing (a) of the identity of the person supplying the goods to the lessor, unless the lessee has selected that person and directed the lessor to acquire the goods or the right to possession and use of the goods from that person, (b) that the lessee is entitled under this title to the promises and warranties, including those of any third party, provided to the lessor by the person supplying the goods in connection with or as part of the contract by which the lessor acquired the goods or the right to possession and use of the goods, and (c) that the lessee may communicate with the person supplying the goods to the lessor and receive an accurate and complete statement of those promises and warranties, including any disclaimers and limitations of them or of remedies.</p><p>(h) "Goods" means all things that are movable at the time of identification to the lease contract, or are fixtures (§ <a href='http://law.lis.virginia.gov/vacode/8.2A-309/'>8.2A-309</a>), but the term does not include money, documents, instruments, accounts, chattel paper, general intangibles, or minerals or the like, including oil and gas, before extraction. The term also includes the unborn young of animals.</p><p>(i) "Installment lease contract" means a lease contract that authorizes or requires the delivery of goods in separate lots to be separately accepted, even though the lease contract contains a clause "each delivery is a separate lease" or its equivalent.</p><p>(j) "Lease" means a transfer of the right to possession and use of goods for a term in return for consideration, but a sale, including a sale on approval or a sale or return, or retention or creation of a security interest is not a lease. Unless the context clearly indicates otherwise, the term includes a sublease.</p><p>(k) "Lease agreement" means the bargain, with respect to the lease, of the lessor and the lessee in fact as found in their language or by implication from other circumstances including course of dealing or usage of trade or course of performance as provided in this title. Unless the context clearly indicates otherwise, the term includes a sublease agreement.</p><p>(l) "Lease contract" means the total legal obligation that results from the lease agreement as affected by this title and any other applicable rules of law. Unless the context clearly indicates otherwise, the term includes a sublease contract.</p><p>(m) "Leasehold interest" means the interest of the lessor or the lessee under a lease contract.</p><p>(n) "Lessee" means a person who acquires the right to possession and use of goods under a lease. Unless the context clearly indicates otherwise, the term includes a sublessee.</p><p>(o) "Lessee in ordinary course of business" means a person who in good faith and without knowledge that the lease to him or her is in violation of the ownership rights or security interest or leasehold interest of a third party in the goods leases in ordinary course from a person in the business of selling or leasing goods of that kind but does not include a pawnbroker. "Leasing" may be for cash or by exchange of other property or on secured or unsecured credit and includes acquiring goods or documents of title under a preexisting lease contract but does not include a transfer in bulk or as security for or in total or partial satisfaction of a money debt.</p><p>(p) "Lessor" means a person who transfers the right to possession and use of goods under a lease. Unless the context clearly indicates otherwise, the term includes a sublessor.</p><p>(q) "Lessor's residual interest" means the lessor's interest in the goods after expiration, termination, or cancellation of the lease contract.</p><p>(r) "Lien" means a charge against or interest in goods to secure payment of a debt or performance of an obligation, but the term does not include a security interest.</p><p>(s) "Lot" means a parcel or a single article that is the subject matter of a separate lease or delivery, whether or not it is sufficient to perform the lease contract.</p><p>(t) "Merchant lessee" means a lessee that is a merchant with respect to goods of the kind subject to the lease.</p><p>(u) "Present value" means the amount as of a date certain of one or more sums payable in the future, discounted to the date certain. The discount is determined by the interest rate specified by the parties if the rate was not manifestly unreasonable at the time the transaction was entered into; otherwise, the discount is determined by a commercially reasonable rate that takes into account the facts and circumstances of each case at the time the transaction was entered into.</p><p>(v) "Purchase" includes taking by sale, lease, mortgage, security interest, pledge, gift, or any other voluntary transaction creating an interest in goods.</p><p>(w) "Sublease" means a lease of goods the right to possession and use of which was acquired by the lessor as a lessee under an existing lease.</p><p>(x) "Supplier" means a person from whom a lessor buys or leases goods to be leased under a finance lease.</p><p>(y) "Supply contract" means a contract under which a lessor buys or leases goods to be leased.</p><p>(z) "Termination" occurs when either party pursuant to a power created by agreement or law puts an end to the lease contract otherwise than for default.</p><p>(2) Other definitions applying to this title and the sections in which they appear are:</p><p>"Accessions" § <a href='http://law.lis.virginia.gov/vacode/8.2A-310/'>8.2A-310</a> (1).</p><p>"Construction mortgage" § <a href='http://law.lis.virginia.gov/vacode/8.2A-309/'>8.2A-309</a> (1) (d).</p><p>"Encumbrance" § <a href='http://law.lis.virginia.gov/vacode/8.2A-309/'>8.2A-309</a> (1) (e).</p><p>"Fixture filing" § <a href='http://law.lis.virginia.gov/vacode/8.2A-309/'>8.2A-309</a> (1) (b).</p><p>"Fixtures" § <a href='http://law.lis.virginia.gov/vacode/8.2A-309/'>8.2A-309</a> (1) (a).</p><p>"Purchase money lease" § <a href='http://law.lis.virginia.gov/vacode/8.2A-309/'>8.2A-309</a> (1) (c).</p><p>(3) The following definitions in other titles apply to this title:</p><p>"Account" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (2).</p><p>"Between merchants" § <a href='http://law.lis.virginia.gov/vacode/8.2-104/'>8.2-104</a> (3).</p><p>"Buyer" § <a href='http://law.lis.virginia.gov/vacode/8.2-103/'>8.2-103</a> (1) (a).</p><p>"Chattel paper" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (11).</p><p>"Consumer goods" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (23).</p><p>"Document" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (30).</p><p>"Entrusting" § <a href='http://law.lis.virginia.gov/vacode/8.2-403/'>8.2-403</a> (3).</p><p>"General intangible" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (42).</p><p>"Good faith" § <a href='http://law.lis.virginia.gov/vacode/8.2-103/'>8.2-103</a> (1) (b).</p><p>"Instrument" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (47).</p><p>"Merchant" § <a href='http://law.lis.virginia.gov/vacode/8.2-104/'>8.2-104</a> (1).</p><p>"Mortgage" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a) (55).</p><p>"Pursuant to commitment" § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a> (a)(69).</p><p>"Receipt" § <a href='http://law.lis.virginia.gov/vacode/8.2-103/'>8.2-103</a> (1) (c).</p><p>"Sale" § <a href='http://law.lis.virginia.gov/vacode/8.2-106/'>8.2-106</a> (1).</p><p>"Sale on approval" § <a href='http://law.lis.virginia.gov/vacode/8.2-326/'>8.2-326</a>.</p><p>"Sale or return" § <a href='http://law.lis.virginia.gov/vacode/8.2-326/'>8.2-326</a>.</p><p>"Seller" § <a href='http://law.lis.virginia.gov/vacode/8.2-103/'>8.2-103</a> (1) (d).</p><p>(4) In addition, Title 8.1A contains general definitions and principles of construction and interpretation applicable throughout this title.</p><p>1991, c. 536; 2000, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP1007'>1007</a>; 2003, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?031+ful+CHAP0353'>353</a>; 2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0200'>200</a>; 2012, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0155'>155</a>.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-104|Leases subject to other law.|<p>(1) A lease, although subject to this title, is also subject to any applicable:</p><p>(a) Certificate of title statute of this Commonwealth such as Article 2 (§ <a href='http://law.lis.virginia.gov/vacode/46.2-616/'>46.2-616</a> et seq.) of Chapter 6 of Title 46.2 and Article 2.1 (§ <a href='http://law.lis.virginia.gov/vacode/29.1-733.2/'>29.1-733.2</a> et seq.) of Chapter 7 of Title 29.1;</p><p>(b) Certificate of title statute of another jurisdiction (§ <a href='http://law.lis.virginia.gov/vacode/8.2A-105/'>8.2A-105</a>); or</p><p>(c) Consumer protection statute of this Commonwealth, such as Chapter 17 (§ <a href='http://law.lis.virginia.gov/vacode/59.1-196/'>59.1-196</a> et seq.) of Title 59.1, or final consumer protection decision of a court of this Commonwealth existing on the effective date of this title.</p><p>(2) In case of conflict between this title, other than §§ <a href='http://law.lis.virginia.gov/vacode/8.2A-105/'>8.2A-105</a>, <a href='http://law.lis.virginia.gov/vacode/8.2A-304/'>8.2A-304</a> (3) and <a href='http://law.lis.virginia.gov/vacode/8.2A-305/'>8.2A-305</a> (3), and a statute or decision referred to in subsection (1) of this section, the statute or decision controls.</p><p>(3) Failure to comply with an applicable law has only the effect specified therein.</p><p>1991, c. 536; 2013, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?131+ful+CHAP0787'>787</a>.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-105|Territorial application of title to goods covered by certificate of title.|<p>Subject to the provisions of subsection (3) of § <a href='http://law.lis.virginia.gov/vacode/8.2A-304/'>8.2A-304</a> and subsection (3) of § <a href='http://law.lis.virginia.gov/vacode/8.2A-305/'>8.2A-305</a>, with respect to goods covered by a certificate of title issued under a statute of this Commonwealth or of another jurisdiction, compliance and the effect of compliance or noncompliance with a certificate of title statute are governed by the law (including the conflict of laws rules) of the jurisdiction issuing the certificate until the earlier of (a) surrender of the certificate, or (b) four months after the goods are removed from that jurisdiction and thereafter until a new certificate of title is issued by another jurisdiction.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-106|Limitation on power of parties to consumer lease to choose applicable law and judicial forum.|<p>(1) If the law chosen by the parties to a consumer lease is that of a jurisdiction other than a jurisdiction in which the lessee resides at the time the lease agreement becomes enforceable or within 30 days thereafter or in which the goods are to be used, the choice is not enforceable.</p><p>(2) If the judicial forum chosen by the parties to a consumer lease is a forum that would not otherwise have jurisdiction over the lessee, the choice is not enforceable.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-107|Waiver or renunciation of claim or right after default.|<p>Any claim or right arising out of an alleged default or breach of warranty may be discharged in whole or in part without consideration by a written waiver or renunciation signed and delivered by the aggrieved party.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-108|Unconscionability.|<p>(1) If the court as a matter of law finds a lease contract or any clause of a lease contract to have been unconscionable at the time it was made, the court may refuse to enforce the lease contract, or it may enforce the remainder of the lease contract without the unconscionable clause, or it may so limit the application of any unconscionable clause as to avoid any unconscionable result.</p><p>(2) With respect to a consumer lease, if the court as a matter of law finds that a lease contract or any clause of a lease contract has been induced by unconscionable conduct or that unconscionable conduct has occurred in the collection of a claim arising from a lease contract, the court may grant appropriate relief.</p><p>(3) Before making a finding of unconscionability under subsection (1) or (2) of this section, the court, on its own motion or that of a party, shall afford the parties a reasonable opportunity to present evidence as to the setting, purpose, and effect of the lease contract or clause thereof, or of the conduct.</p><p>(4) In an action in which the lessee claims unconscionability with respect to a consumer lease:</p><p>(a) If the court finds unconscionability under subsection (1) or (2) of this section, the court shall award reasonable attorney's fees to the lessee.</p><p>(b) If the court does not find unconscionability and the lessee claiming unconscionability has brought or maintained an action he or she knew to be groundless, the court shall award reasonable attorney's fees to the party against whom the claim is made.</p><p>(c) In determining attorney's fees, the amount of the recovery on behalf of the claimant under subsections (1) and (2) of this section is not controlling.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||1|GENERAL PROVISIONS|||||||§ 8.2A-109|Option to accelerate at will.|<p>(1) A term providing that one party or his or her successor in interest may accelerate payment or performance or require collateral or additional collateral "at will" or "when he or she deems himself or herself insecure" or in words of similar import must be construed to mean that he or she has power to do so only if he or she in good faith believes that the prospect of payment or performance is impaired.</p><p>(2) With respect to a consumer lease, the burden of establishing good faith under subsection (1) of this section is on the party who exercised the power; otherwise the burden of establishing lack of good faith is on the party against whom the power has been exercised.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-201|Statute of Frauds.|<p>(1) A lease contract is not enforceable by way of action or defense unless:</p><p>(a) The total payments to be made under the lease contract, excluding payments for options to renew or buy, are less than $1,000; or</p><p>(b) There is a writing, signed by the party against whom enforcement is sought or by that party's authorized agent, sufficient to indicate that a lease contract has been made between the parties and to describe the goods leased and the lease term.</p><p>(2) Any description of leased goods or of the lease term is sufficient and satisfies subdivision (1) (b) of this section, whether or not it is specific, if it reasonably identifies what is described.</p><p>(3) A writing is not insufficient because it omits or incorrectly states a term agreed upon, but the lease contract is not enforceable under subdivision (1) (b) of this section beyond the lease term and the quantity of goods shown in the writing.</p><p>(4) A lease contract that does not satisfy the requirements of subsection (1) of this section, but which is valid in other respects, is enforceable if:</p><p>(a) The goods are to be specially manufactured or obtained for the lessee and are not suitable for lease or sale to others in the ordinary course of the lessor's business, and the lessor, before notice of repudiation is received and under circumstances that reasonably indicate that the goods are for the lessee, has made either a substantial beginning of their manufacture or commitments for their procurement;</p><p>(b) The party against whom enforcement is sought admits in that party's pleading, testimony or otherwise in court that a lease contract was made, but the lease contract is not enforceable under this provision beyond the quantity of goods admitted; or</p><p>(c) With respect to goods that have been received and accepted by the lessee.</p><p>(5) The lease term under a lease contract referred to in subsection (4) of this section is:</p><p>(a) If there is a writing signed by the party against whom enforcement is sought or by that party's authorized agent specifying the lease term, the term so specified;</p><p>(b) If the party against whom enforcement is sought admits in that party's pleading, testimony, or otherwise in court a lease term, the term so admitted; or</p><p>(c) A reasonable lease term.</p><p>1991, c. 536.</p>
