27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-1|Firefighters and equipment may in emergencies go or be sent beyond territorial limits.|<p>Whenever the necessity arises during any actual or potential emergency resulting from fire, personal injury, or other public disaster, the firefighters of any county, city, or town may, together with all necessary equipment, lawfully go or be sent beyond the territorial limits of such county, city, or town to any point within or without the Commonwealth, to assist in meeting such emergency.</p><p>In such event, the acts performed for such purpose by such firefighters and the expenditures made for such purpose by such county, city, or town shall be deemed conclusively to be for a public and governmental purpose and all of the immunities from liability enjoyed by a county, city, or town when acting through its firefighters for a public or governmental purpose within its territorial limits shall be enjoyed by it to the same extent when such county, city, or town is so acting, under this section or under other lawful authority, beyond its territorial limits.</p><p>The firefighters of any county, city, or town, when acting hereunder, or under other lawful authority, beyond the territorial limits of such county, city, or town, shall have all the immunities from liability and exemptions from laws, ordinances, and regulations, and shall have all of the pension, relief, disability, workers' compensation, and other benefits, enjoyed by them while performing their respective duties.</p><p>1942, p. 376; Michie Code 1942, § 3032c; 1966, c. 134; 1977, c. 326; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0461'>461</a>; 2015, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0502'>502</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0503'>503</a>.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-2|Contracts of cities or towns to furnish fire protection.|<p>The governing body of any city or town may, in its discretion, authorize or require the fire department or division thereof to render aid in cases of actual or potential fire occurring beyond their limits, and may prescribe the conditions on which such aid may be rendered, and may enter into a contract, or contracts, with nearby, adjacent or adjoining counties and cities, within or without the Commonwealth, including the District of Columbia, for rendering aid in fire protection in such counties, cities, or any district, or sanitary district thereof or in the District of Columbia, on such terms as may be agreed upon by such governing body and the governing body of the District of Columbia or of such counties or cities or district, including sanitary districts, provided that each of the parties to such agreement may contract as follows: (i) waive any and all claims against all the other parties thereto which may arise out of their activities outside their respective jurisdictions under such agreement; (ii) indemnify and save harmless the other parties to such agreement from all claims by third parties for property damage or personal injury that may arise out of the activities of the other parties to such agreement outside their respective jurisdictions under such agreement. When the fire department or division of any city or town is operating under such permission or contract, or contracts, on any call beyond the corporate limits of the city or town, it shall be deemed to be operating in a governmental capacity and subject only to such liability for injuries as it would be if it were operating within the corporate limits of such city or town.</p><p>Code 1919, § 3033; 1938, p. 576; 1966, c. 134; 1968, c. 801; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0461'>461</a>; 2015, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0502'>502</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0503'>503</a>.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-2.1|Contracts for fire protection for federal and state property.|<p>Any county, city, or town may contract with the federal or state government to provide fire service to federal or state property located within or without the boundaries of the county, city, or town.</p><p>In the absence of a written contract, any acts performed and all expenditures made by a county, city, or town in providing fire protection to property owned by the federal government shall be deemed conclusively to be for a public and governmental purpose and all of the immunities from liability enjoyed by a county, city, or town when acting through its firefighters for a public or governmental purpose within or without its territorial limits shall be enjoyed by it to the same extent when such county, city, or town is so acting, under the provisions of this section, or under other lawful authority.</p><p>The firefighters of any county, city, or town when acting hereunder, or under other lawful authority, shall have all of the immunities from liability and exemptions from laws, ordinances, and regulations and shall have all of the pension, relief, disability, workers' compensation, and other benefits enjoyed by them while performing their respective duties.</p><p>The amount of compensation to the county, city, or town pursuant to the contract shall be a matter within the sole discretion of the governing body of the county, city, or town.</p><p>1980, c. 729; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0461'>461</a>; 2015, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0502'>502</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0503'>503</a>.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-3|Contract of county with city or another county for fire protection.|<p>The governing body of any county adjoining or near any city, town, or county, within or without the Commonwealth, including the District of Columbia, having and maintaining firefighting equipment may contract with any such city, town, or county, upon such terms as such governing body may deem proper, for fighting fires in such county, town, or city and may prescribe the terms and conditions upon which such services may be provided on privately owned property in the county, town, or city and may raise funds with which to pay for such services, by levying and collecting annually, at such rates as such governing body may deem sufficient, a special tax upon the property in such county, or in any magisterial district thereof, subject to local taxation.</p><p>Code 1919, § 2743; 1942, p. 118; 1966, c. 134; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0461'>461</a>; 2015, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0502'>502</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0503'>503</a>.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-3.1|Public liability insurance to cover claims arising out of mutual aid agreements.|<p>The governing body of any city, county or town in the Commonwealth is authorized to procure or extend the necessary public liability insurance to cover claims arising out of mutual aid agreements executed with other cities, counties, or towns outside the Commonwealth, including the District of Columbia.</p><p>1968, c. 801; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0461'>461</a>.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-4|Contract of county, city, or town to furnish fire protection.|<p>Any county, city, or town that operates firefighting equipment as provided for in § <a href='http://law.lis.virginia.gov/vacode/27-15.2/'>27-15.2</a> and any county, city, or town mentioned in § <a href='http://law.lis.virginia.gov/vacode/27-6.02/'>27-6.02</a> may contract with counties, cities, or towns in, adjacent to, or near such county, city, or town, including the District of Columbia, for fire protection in the manner provided for in § <a href='http://law.lis.virginia.gov/vacode/27-2/'>27-2</a>.</p><p>1946, p. 609; Michie Suppl. 1946, § 2743m; 1948, p. 160; 1970, c. 187; 1991, c. 54; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0461'>461</a>; 2015, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0502'>502</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0503'>503</a>.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-5|Contracts as to installation of automatic sprinklers with incidental insurance clauses.|<p>Nothing contained in Title 38.2 shall be construed as prohibiting the performance of any contract made for the introduction of automatic sprinklers for reducing the risk by fire on any property located in this Commonwealth and containing provisions for obtaining or guaranteeing insurance against loss or damage by fire or water for a specified time at a fixed rate; provided, that all insurance contracts issued as a result of such contracts shall be in the form required by law in this Commonwealth; provided, further, that the contract rate be less than the published rate on risks covered thereby or the rate used by insurance companies writing such risks.</p><p>1930, p. 23; Michie Code 1942, § 4246c.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-5.1|Repealed.|<p>Repealed by Acts 1986, c. 429.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-5.2|Repealed.|<p>Repealed by Acts 1988, c. 891.</p>
27|FIRE PROTECTION|||||1|GENERAL PROVISIONS|||||§ 27-5.3|Certain counties authorized to accept grants and other federal assistance.|<p>Any county having a population of more than 2,000 persons per square mile may apply for, accept and utilize grants and other assistance from the federal government pursuant to § 117 of the United States Housing Act of 1949 (79 Stat. 451, 477), as amended, for the purpose of carrying out programs of concentrated code enforcement and related activities.</p><p>1966, c. 435.</p>
