54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-100|Regulations of professions and occupations.|<p>The right of every person to engage in any lawful profession, trade, or occupation of his choice is clearly protected by both the Constitution of the United States and the Constitution of the Commonwealth of Virginia. The Commonwealth cannot abridge such rights except as a reasonable exercise of its police powers when (i) it is clearly found that such abridgment is necessary for the protection or preservation of the health, safety, and welfare of the public and (ii) any such abridgment is no greater than necessary to protect or preserve the public health, safety, and welfare.</p><p>No regulation shall be imposed upon any profession or occupation except for the exclusive purpose of protecting the public interest when:</p><p>1. The unregulated practice of the profession or occupation can harm or endanger the health, safety or welfare of the public, and the potential for harm is recognizable and not remote or dependent upon tenuous argument;</p><p>2. The practice of the profession or occupation has inherent qualities peculiar to it that distinguish it from ordinary work and labor;</p><p>3. The practice of the profession or occupation requires specialized skill or training and the public needs, and will benefit by, assurances of initial and continuing professional and occupational ability; and</p><p>4. The public is not effectively protected by other means.</p><p>No regulation of a profession or occupation shall conflict with the Constitution of the United States, the Constitution of Virginia, the laws of the United States, or the laws of the Commonwealth of Virginia. Periodically and at least annually, all agencies regulating a profession or occupation shall review such regulations to ensure that no conflict exists.</p><p>1979, c. 408, § 54-1.17; 1988, c. 765; 2016, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0467'>467</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-100.1|Department of Commerce continued as Department of Professional and Occupational Regulation.|<p>The Department of Professional and Occupational Regulation, formerly known as the Department of Commerce, is continued, and wherever "Department of Commerce" is used in this Code, it shall mean the Department of Professional and Occupational Regulation. The Board for Professional and Occupational Regulation, formerly known as the Board of Commerce, is continued, and wherever "Board of Commerce" is used in this Code, it shall mean the Board for Professional and Occupational Regulation.</p><p>1993, c. 499.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-101|Copies of examinations filed by regulatory boards.|<p>A copy of examinations given by regulatory and advisory boards within the Department of Professional and Occupational Regulation and the Department of Health Professions authorized to conduct examinations of applicants for admission to practice or pursue any profession, vocation, trade, calling, or art shall be kept on file at the office of the secretary of each board. A copy of the examination shall be placed on file within ten days after it is administered, and shall be preserved for at least one year as a public record accessible to any person desiring to examine it during usual business hours. After the expiration of one year from the time the examination is filed, the secretary of the respective board may withdraw and destroy the examination. However, this section shall not be construed or interpreted in a manner to require the filing or release of examinations or other information which would result in compromising the validity or security of future examinations conducted by regulatory or advisory boards of the Department of Professional and Occupational Regulation or the Department of Health Professions. In the event any provision of this section results in a conflict with the provisions of § <a href='http://law.lis.virginia.gov/vacode/54.1-108/'>54.1-108</a>, the provisions of § <a href='http://law.lis.virginia.gov/vacode/54.1-108/'>54.1-108</a> shall prevail.</p><p>Code 1950, § 54-1; 1952, c. 227; 1959, Ex. Sess., c. 94; 1960, c. 10; 1962, c. 13; 1970, c. 623; 1973, c. 284; 1985, c. 448; 1988, c. 765; 1993, c. 499.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-101.1|Certified mail; subsequent mail or notices may be sent by regular mail.|<p>Whenever in this title any regulatory board within the Department of Professional and Occupational Regulation or the Department of Health Professions is required to send any mail or notice by certified mail and such mail or notice is sent certified mail, return receipt requested, then any subsequent, identical mail or notice that is sent by any such regulatory board may be sent by regular mail.</p><p>2011, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?111+ful+CHAP0566'>566</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-102|Unlawful procurement of certificate, license or permit; unauthorized possession of examination or answers; penalty.|<p>A. It shall be unlawful:</p><p>1. For any person to procure, or assist another to procure, through theft, fraud or other illegal means, a certificate, license or permit, from any state board, or other body charged by law with the responsibility of examining persons desiring to engage in a regulated business or profession;</p><p>2. For any person, other than a member or officer of the board or body, to procure or have in his possession prior to the beginning of an examination, without written authority of a member or officer of the board or body, any question intended to be used by the board or body conducting the examination, or to receive or furnish to any person taking the examination, prior to or during the examination, any written or printed material purporting to be answers to, or aid in answering such questions;</p><p>3. For any person to attempt to procure, through theft, fraud or other illegal means, any questions intended to be used by the board or body conducting the examination, or the answers to the questions;</p><p>4. For any person to use, disclose or release any questions intended to be used by the board or body conducting the examination, or to release the answers to the questions, beyond the scope specifically authorized by the board or body; or</p><p>5. To promise or offer any valuable or other consideration to a person having access to the questions or answers as an inducement to procure for delivery to the promisor, or any other person, a copy or copies of any questions or answers.</p><p>If an examination is divided into separate parts, each of the parts shall be deemed an examination for the purposes of this section.</p><p>B. Any person violating the provisions of subsection A shall be guilty of a Class 2 misdemeanor.</p><p>Code 1950, §§ 54-1.1, 54-1.2; 1988, c. 765; 2012, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0416'>416</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-103|Additional training of regulated persons; reciprocity; endorsement.|<p>A. The regulatory boards within the Department of Professional and Occupational Regulation and the Department of Health Professions may promulgate regulations specifying additional training or conditions for individuals seeking certification or licensure, or for the renewal of certificates or licenses.</p><p>B. The regulatory boards may enter into agreements with other jurisdictions for the recognition of certificates and licenses issued by other jurisdictions.</p><p>C. The regulatory boards are authorized to promulgate regulations recognizing licenses or certificates issued by other states, the District of Columbia, or any territory or possession of the United States as full or partial fulfillment of qualifications for licensure or certification in the Commonwealth.</p><p>1979, c. 408, § 54-1.28; 1983, c. 569; 1988, c. 765; 1990, c. 194; 1993, c. 499.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-104|Suspension of license, certificate, registration, permit, or authority for dishonor of fee payment; reinstatement.|<p>The Department of Professional and Occupational Regulation and the Department of Health Professions may suspend the license, certificate, registration, permit, or authority it has issued any person who submits a check, money draft, or similar instrument for payment of a fee required by statute or regulation which is not honored by the bank or financial institution named. The suspension shall become effective 10 days following delivery by certified mail of written notice of the dishonor and the impending suspension to such person's address. Upon notification of suspension, the person may reinstate the license, certificate, registration, permit, or authority upon payment of the fee and penalties required under statute or regulation. Suspension under this provision shall be exempt from the Administrative Process Act (§ <a href='http://law.lis.virginia.gov/vacode/2.2-4000/'>2.2-4000</a> et seq.).</p><p>1980, c. 433, § 54-1.2:1; 1988, c. 765; 1993, c. 499; 2017, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0423'>423</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-104.1|License, certificate, registration, permit, or authority may not be suspended or revoked solely on the basis of default or delinquency in payment of federal-guaranteed or state-guaranteed education loan or scholarship.|<p>The Department of Professional and Occupational Regulation, the Department of Health Professions, and the Board of Accountancy shall not be authorized to suspend or revoke the license, certificate, registration, permit, or authority it has issued to any person who is in default or delinquent in the payment of a federal-guaranteed or state-guaranteed educational loan or work-conditional scholarship solely on the basis of such default or delinquency.</p><p>2018, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+CHAP0170'>170</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+CHAP0381'>381</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-105|Majority of board or panel required to suspend or revoke license, certificate, registration, permit, or multistate licensure privilege; imposition of sanctions.|<p>An affirmative vote of a majority of those serving on a board who are qualified to vote or those serving on a panel of a health regulatory board convened pursuant to § <a href='http://law.lis.virginia.gov/vacode/54.1-2400/'>54.1-2400</a> shall be required for any action to suspend or revoke a license, certification, registration, permit, or multistate licensure privilege to practice nursing or to impose a sanction on a licensee. However, an affirmative vote of a majority of a quorum of the regulatory board shall be sufficient for summary suspension pursuant to specific statutory authority.</p><p>1988, c. 765; 1992, c. 659; 2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0049'>49</a>; 2017, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0423'>423</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-106|Health care professionals rendering services to patients of certain clinics and administrators of such services exempt from liability.|<p>A. No person who is licensed or certified by the Boards of/for Audiology and Speech-Language Pathology; Counseling; Dentistry; Medicine; Nursing; Optometry; Opticians; Pharmacy; Hearing Aid Specialists; Psychology; or Social Work or who holds a multistate licensure privilege to practice nursing issued by the Board of Nursing who renders at any site any health care services within the limits of his license, certification or licensure privilege, voluntarily and without compensation, to any patient of any clinic which is organized in whole or in part for the delivery of health care services without charge or any clinic for the indigent and uninsured that is organized for the delivery of primary health care services as a federally qualified health center designated by the Centers for Medicare &amp; Medicaid Services, shall be liable for any civil damages for any act or omission resulting from the rendering of such services unless the act or omission was the result of his gross negligence or willful misconduct. Additionally, no person who administers, organizes, arranges, or promotes such services shall be liable to patients of clinics described in this section for any civil damages for any act or omission resulting from the rendering of such services unless the act or omission was the result of his or the clinic's gross negligence or willful misconduct.</p><p>For purposes of this section, any commissioned or contract medical officers or dentists serving on active duty in the United States armed services and assigned to duty as practicing commissioned or contract medical officers or dentists at any military hospital or medical facility owned and operated by the United States government shall be deemed to be licensed pursuant to this title.</p><p>B. For the purposes of Article 5 (§ <a href='http://law.lis.virginia.gov/vacode/2.2-1832/'>2.2-1832</a> et seq.) of Chapter 18 of Title 2.2, any person rendering such health care services who (i) is registered with the Division of Risk Management and (ii) has no legal or financial interest in the clinic from which the patient is referred shall be deemed an agent of the Commonwealth and to be acting in an authorized governmental capacity with respect to delivery of such health care services. The premium for coverage of such person under the Risk Management Plan shall be paid by the Department of Health.</p><p>C. For the purposes of this section and Article 5 (§ <a href='http://law.lis.virginia.gov/vacode/2.2-1832/'>2.2-1832</a> et seq.) of Chapter 18 of Title 2.2, "delivery of health care services without charge" shall be deemed to include the delivery of dental, medical or other health services when a reasonable minimum fee is charged to cover administrative costs.</p><p>1983, c. 25, § 54-1.2:2; 1988, c. 765; 1989, c. 159; 1992, cc. 414, 706; 1995, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0509'>509</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0531'>531</a>; 1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0748'>748</a>; 1999, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?991+ful+CHAP0834'>834</a>; 2000, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP0473'>473</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP0618'>618</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP0632'>632</a>; 2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0049'>49</a>; 2010, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?101+ful+CHAP0353'>353</a>; 2017, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0057'>57</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0415'>415</a>.</p>
54.1|PROFESSIONS AND OCCUPATIONS|I|GENERAL PROVISIONS RELATING TO REGULATORY BOARDS|||1|GENERAL PROVISIONS|||||§ 54.1-106.1|Notification to licensees of the Board of Medicine about immunity for health care services to patients of free clinics.|<p>The Board of Medicine shall provide to its licensees a full description of the protection from civil liability established pursuant to § <a href='http://law.lis.virginia.gov/vacode/54.1-106/'>54.1-106</a>. Such description shall explain the coverage available under the Division of Risk Management pursuant to subsection B of § <a href='http://law.lis.virginia.gov/vacode/54.1-106/'>54.1-106</a>.</p><p>2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0134'>134</a>.</p>
