66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-1|Creation of Department of Juvenile Justice.|<p>There is hereby created within the executive branch, responsible to the Governor, a Department of Juvenile Justice. The Department shall be under the immediate supervision of a Director who shall be appointed by the Governor, subject to confirmation by the General Assembly. The Director shall serve at the pleasure of the Governor or until his successor shall be appointed and qualified. Vacancies shall be filled in the same manner as original appointments.</p><p>1989, c. 733; 1990, c. 350; 1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0503'>503</a>.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-2|Supervision of the Department.|<p>The Director of the Department of Juvenile Justice shall, under the direction of the Governor, be responsible for the supervision of the Department and shall exercise such other powers and perform such other duties as may be conferred or imposed by law upon him. He shall perform such other duties as may be required of him by the Governor and the Secretary of Public Safety and Homeland Security.</p><p>1989, c. 733; 1990, cc. 1, 317; 2014, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?141+ful+CHAP0115'>115</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?141+ful+CHAP0490'>490</a>.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-3|Powers of the Director.|<p>A. The Director of the Department shall have the following general powers:</p><p>1. To employ such personnel as may be required to carry out the purposes of this title.</p><p>2. To make and enter into all contracts and agreements necessary or incidental to the performance of his duties and the execution of his powers under this title, including, but not limited to, contracts and agreements with the United States, other states, and agencies and governmental subdivisions of the Commonwealth.</p><p>3. With the prior approval of the Governor, to enter into agreements with a public or private entity to operate a work program for children committed to the Department.</p><p>4. With the prior approval of the Governor, to acquire real property, by purchase or gift, needed for new or existing state juvenile correctional facilities and for administrative and other facilities necessary to the operations of the Department, pursuant to regulations promulgated by the Board to ensure adequate public notice and local hearing.</p><p>5. To establish and maintain schools of the appropriate grades, levels, and types in the institutions for persons committed to juvenile correctional centers.</p><p>6. To enter into such agreements with private entities, nonprofit civic organizations, school divisions, and public and private two-year and four-year institutions of higher education as it may deem necessary to provide age-appropriate educational programs and training, including career and technical education; career development opportunities; public service projects; restricted Internet access to online courses of institutions of higher education and approved or accredited online secondary education or adult education and literacy programs leading to a diploma or achieving a passing score on a high school equivalency examination approved by the Board of Education; access to postsecondary education that includes college credit, certification through an accredited vocational training program, or other accredited continuing education program using videoconferencing technology; and other learning experiences in the furtherance of its duties and responsibilities under this chapter for persons committed to the institutions comprising the Department.</p><p>7. To designate employees of the Department with internal investigations authority to have the same power as a sheriff or a law-enforcement officer in the investigation of allegations of criminal behavior affecting the operations of the Department. Such employees shall be subject to any minimum training standards established by the Department of Criminal Justice Services under § <a href='http://law.lis.virginia.gov/vacode/9.1-102/'>9.1-102</a> for law-enforcement officers prior to exercising any law-enforcement power granted under this subdivision. Nothing in this section shall be construed to grant the Department any authority over the operation and security of detention homes not specified in any other provision of law. The Department shall investigate allegations of criminal behavior in accordance with a written agreement entered into with the Department of State Police. The Department shall not investigate any action falling within the authority vested in the Office of the State Inspector General pursuant to Chapter 3.2 (§ <a href='http://law.lis.virginia.gov/vacode/2.2-307/'>2.2-307</a> et seq.) of Title 2.2 unless specifically authorized by the Office of the State Inspector General.</p><p>8. To do all acts necessary or convenient to carry out the purposes of this title.</p><p>B. The Director shall comply with and require all school facilities within the Department to comply with applicable regulations and statutes, both state and federal.</p><p>1989, c. 733; 1993, cc. 460, 487; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0701'>701</a>; 2012, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0803'>803</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0835'>835</a>; 2013, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?131+ful+CHAP0143'>143</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?131+ful+CHAP0214'>214</a>; 2014, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?141+ful+CHAP0084'>84</a>.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-3.1|Repealed.|<p>Repealed by Acts 2011, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?111+ful+CHAP0798'>798</a> and <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?111+ful+CHAP0871'>871</a>, cl. 2, effective July 1, 2012.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-3.2|Additional duties of the Director.|<p>A. The Director shall coordinate with the Department of Corrections the development and submission of requests for compensation from the United States Department of Justice State Criminal Alien Assistance Program for costs associated with incarcerating undocumented aliens.</p><p>B. The Director shall forward to the Commonwealth's Attorneys' Services Council, updated on a monthly basis, a list of all juveniles, 14 years of age or older, that (i) have been committed to the Department, (ii) have been found guilty of a felony offense defined as a predicate criminal act under § <a href='http://law.lis.virginia.gov/vacode/18.2-46.1/'>18.2-46.1</a>, or have been adjudicated delinquent on the basis of an act that would be a felony and a predicate criminal act under § <a href='http://law.lis.virginia.gov/vacode/18.2-46.1/'>18.2-46.1</a> if committed by an adult, and (iii) have been identified as belonging to a criminal gang. The list shall contain identifying information for each gang member, as well as the offense, court, and date of conviction or adjudication.</p><p>2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0126'>126</a>; 2006, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?061+ful+CHAP0431'>431</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?061+ful+CHAP0500'>500</a>.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-4|State Board of Juvenile Justice.|<p>There shall be a State Board of Juvenile Justice, consisting of nine members appointed by the Governor, two of whom shall be experienced educators. In making appointments, the Governor shall endeavor to select appointees of such qualifications and experience that the membership of the Board shall include persons suitably qualified to consider and act upon the various problems that may come before the Board. The appointments shall be subject to confirmation by the General Assembly if in session and, if not, then at its next succeeding session.</p><p>1989, c. 733; 1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0503'>503</a>; 2013, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?131+ful+CHAP0037'>37</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?131+ful+CHAP0232'>232</a>.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-5|Term of office of members; suspension or removal.|<p>The members of the Board shall be appointed initially as follows: three members for a term of two years each and four members for a term of four years each. Thereafter, the appointment of such members or their successors shall be for terms of four years, except that an appointment to fill a vacancy shall be for the unexpired term. No person shall be eligible to serve for or during more than two successive four-year terms. However, any person appointed to fill a vacancy may be eligible for two additional successive terms after the term of the vacancy for which he was appointed has expired. Members of the Board may be suspended or removed by the Governor at his pleasure.</p><p>1989, c. 733.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-6|Chairman, vice-chairman and secretary.|<p>The Board shall select a chairman from its membership, and under rules adopted by itself may elect one of its members as vice-chairman. It shall elect one of its members as secretary.</p><p>1989, c. 733.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-7|Compensation and expenses.|<p>The members of the Board shall receive no salaries. They shall be paid their necessary traveling and other expenses incurred in attendance at meetings, or while otherwise engaged in the discharge of their duties, and the sum of fifty dollars a day for each day or portion thereof in which they are engaged in the performance of their duties.</p><p>1989, c. 733.</p>
66|JUVENILE JUSTICE|||||1|DEPARTMENT AND STATE BOARD OF JUVENILE JUSTICE|||||§ 66-8|Meetings.|<p>The Board shall meet at such times as it deems appropriate and on call of the chairman when in his opinion meetings are expedient or necessary. However, the Board shall meet at least four times each calendar year.</p><p>1989, c. 733.</p>
