8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-101|Short title.|<p>This title may be cited as Uniform Commercial Code -- Investment Securities.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-102|Definitions.|<p>(a) In this title:</p><p>(1) "Adverse claim" means a claim that a claimant has a property interest in a financial asset and that it is a violation of the rights of the claimant for another person to hold, transfer, or deal with the financial asset.</p><p>(2) "Bearer form," as applied to a certificated security, means a form in which the security is payable to the bearer of the security certificate according to its terms but not by reason of an endorsement.</p><p>(3) "Broker" means a person defined as a broker or dealer under the federal securities laws, but without excluding a bank acting in that capacity.</p><p>(4) "Certificated security" means a security that is represented by a certificate.</p><p>(5) "Clearing corporation" means:</p><p>(i) a person that is registered as a "clearing agency" under the federal securities laws;</p><p>(ii) a federal reserve bank; or</p><p>(iii) any other person that provides clearance or settlement services with respect to financial assets that would require it to register as a clearing agency under the federal securities laws but for an exclusion or exemption from the registration requirement, if its activities as a clearing corporation, including promulgation of rules, are subject to regulation by a federal or state governmental authority.</p><p>(6) "Communicate" means to:</p><p>(i) send a signed writing; or</p><p>(ii) transmit information by any mechanism agreed upon by the persons transmitting and receiving the information.</p><p>(7) "Entitlement holder" means a person identified in the records of a securities intermediary as the person having a security entitlement against the securities intermediary. If a person acquires a security entitlement by virtue of § <a href='http://law.lis.virginia.gov/vacode/8.8A-501/'>8.8A-501</a> (b) (2) or (3), that person is the entitlement holder.</p><p>(8) "Entitlement order" means a notification communicated to a securities intermediary directing transfer or redemption of a financial asset to which the entitlement holder has a security entitlement.</p><p>(9) "Financial asset," except as otherwise provided in § <a href='http://law.lis.virginia.gov/vacode/8.8A-103/'>8.8A-103</a>, means:</p><p>(i) a security;</p><p>(ii) an obligation of a person or a share, participation, or other interest in a person or in property or an enterprise of a person, which is, or is of a type, dealt in or traded on financial markets, or which is recognized in any area in which it is issued or dealt in as a medium for investment; or</p><p>(iii) any property that is held by a securities intermediary for another person in a securities account if the securities intermediary has expressly agreed with the other person that the property is to be treated as a financial asset under this title.</p><p>As context requires, the term means either the interest itself or the means by which a person's claim to it is evidenced, including a certificated or uncertificated security, a security certificate, or a security entitlement.</p><p>(10) "Good faith," for purposes of the obligation of good faith in the performance or enforcement of contracts or duties within this title, means honesty in fact and the observance of reasonable commercial standards of fair dealing.</p><p>(11) "Endorsement" means a signature that alone or accompanied by other words is made on a security certificate in registered form or on a separate document for the purpose of assigning, transferring, or redeeming the security or granting a power to assign, transfer, or redeem it.</p><p>(12) "Instruction" means a notification communicated to the issuer of an uncertificated security which directs that the transfer of the security be registered or that the security be redeemed.</p><p>(13) "Registered form," as applied to a certificated security, means a form in which:</p><p>(i) the security certificate specifies a person entitled to the security; and</p><p>(ii) a transfer of the security may be registered upon books maintained for that purpose by or on behalf of the issuer, or the security certificate so states.</p><p>(14) "Securities intermediary" means:</p><p>(i) a clearing corporation; or</p><p>(ii) a person, including a bank or broker, that in the ordinary course of its business maintains securities accounts for others and is acting in that capacity.</p><p>(15) "Security," except as otherwise provided in § <a href='http://law.lis.virginia.gov/vacode/8.8A-103/'>8.8A-103</a>, means an obligation of an issuer or a share, participation, or other interest in an issuer or in property or an enterprise of an issuer:</p><p>(i) which is represented by a security certificate in bearer or registered form, or the transfer of which may be registered upon books maintained for that purpose by or on behalf of the issuer;</p><p>(ii) which is one of a class or series or by its terms is divisible into a class or series of shares, participations, interests, or obligations; and</p><p>(iii) which:</p><p>(A) is, or is of a type, dealt in or traded on securities exchanges or securities markets; or</p><p>(B) is a medium for investment and by its terms expressly provides that it is a security governed by this title.</p><p>(16) "Security certificate" means a certificate representing a security.</p><p>(17) "Security entitlement" means the rights and property interest of an entitlement holder with respect to a financial asset specified in Part 5.</p><p>(18) "Uncertificated security" means a security that is not represented by a certificate.</p><p>(b) Other definitions applying to this title and the sections in which they appear are:</p><p>Appropriate person § <a href='http://law.lis.virginia.gov/vacode/8.8A-107/'>8.8A-107</a></p><p>Control § <a href='http://law.lis.virginia.gov/vacode/8.8A-106/'>8.8A-106</a></p><p>Delivery § <a href='http://law.lis.virginia.gov/vacode/8.8A-301/'>8.8A-301</a></p><p>Investment company security § <a href='http://law.lis.virginia.gov/vacode/8.8A-103/'>8.8A-103</a></p><p>Issuer § <a href='http://law.lis.virginia.gov/vacode/8.8A-201/'>8.8A-201</a></p><p>Overissue § <a href='http://law.lis.virginia.gov/vacode/8.8A-210/'>8.8A-210</a></p><p>Protected purchaser § <a href='http://law.lis.virginia.gov/vacode/8.8A-303/'>8.8A-303</a></p><p>Securities account § <a href='http://law.lis.virginia.gov/vacode/8.8A-501/'>8.8A-501</a></p><p>(c) In addition, Title 8.1A contains general definitions and principles of construction and interpretation applicable throughout this title.</p><p>(d) The characterization of a person, business, or transaction for purposes of this title does not determine the characterization of the person, business, or transaction for purposes of any other law, regulation, or rule.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>; 2003, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?031+ful+CHAP0353'>353</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-103|Rules for determining whether certain obligations and interests are securities or financial assets.|<p>(a) A share or similar equity interest issued by a corporation, business trust, joint stock company, or similar entity is a security.</p><p>(b) An "investment company security" is a security. "Investment company security" means a share or similar equity interest issued by an entity that is registered as an investment company under the federal investment company laws, an interest in a unit investment trust that is so registered, or a face-amount certificate issued by a face-amount certificate company that is so registered. Investment company security does not include an insurance policy or endowment policy or annuity contract issued by an insurance company.</p><p>(c) An interest in a partnership or limited liability company is not a security unless it is dealt in or traded on securities exchanges or in securities markets, its terms expressly provide that it is a security governed by this title, or it is an investment company security. However, an interest in a partnership or limited liability company is a financial asset if it is held in a securities account.</p><p>(d) A writing that is a security certificate is governed by this title and not by Title 8.3A, even though it also meets the requirements of that title. However, a negotiable instrument governed by Title 8.3A is a financial asset if it is held in a securities account.</p><p>(e) An option or similar obligation issued by a clearing corporation to its participants is not a security, but is a financial asset.</p><p>(f) A commodity contract, as defined in subdivision (a) (15) of § <a href='http://law.lis.virginia.gov/vacode/8.9A-102/'>8.9A-102</a>, is not a security or a financial asset.</p><p>(g) A document of title is not a financial asset unless subdivision (a) (9) (iii) of § <a href='http://law.lis.virginia.gov/vacode/8.8A-102/'>8.8A-102</a> applies.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>; 2000, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP1007'>1007</a>; 2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0200'>200</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-104|Acquisition of security or financial asset or interest therein.|<p>(a) A person acquires a security or an interest therein, under this title, if:</p><p>(1) the person is a purchaser to whom a security is delivered pursuant to § <a href='http://law.lis.virginia.gov/vacode/8.8A-301/'>8.8A-301</a>; or</p><p>(2) the person acquires a security entitlement to the security pursuant to § <a href='http://law.lis.virginia.gov/vacode/8.8A-501/'>8.8A-501</a>.</p><p>(b) A person acquires a financial asset, other than a security, or an interest therein, under this title, if the person acquires a security entitlement to the financial asset.</p><p>(c) A person who acquires a security entitlement to a security or other financial asset has the rights specified in Part 5, but is a purchaser of any security, security entitlement, or other financial asset held by the securities intermediary only to the extent provided in § <a href='http://law.lis.virginia.gov/vacode/8.8A-503/'>8.8A-503</a>.</p><p>(d) Unless the context shows that a different meaning is intended, a person who is required by other law, regulation, rule, or agreement to transfer, deliver, present, surrender, exchange, or otherwise put in the possession of another person a security or financial asset satisfies that requirement by causing the other person to acquire an interest in the security or financial asset pursuant to subsection (a) or (b).</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-105|Notice of adverse claim.|<p>(a) A person has notice of an adverse claim if:</p><p>(1) the person knows of the adverse claim;</p><p>(2) the person is aware of facts sufficient to indicate that there is a significant probability that the adverse claim exists and deliberately avoids information that would establish the existence of the adverse claim; or</p><p>(3) the person has a duty, imposed by statute or regulation, to investigate whether an adverse claim exists, and the investigation so required would establish the existence of the adverse claim.</p><p>(b) Having knowledge that a financial asset or interest therein is or has been transferred by a representative imposes no duty of inquiry into the rightfulness of a transaction and is not notice of an adverse claim. However, a person who knows that a representative has transferred a financial asset or interest therein in a transaction that is, or whose proceeds are being used, for the individual benefit of the representative or otherwise in breach of duty has notice of an adverse claim.</p><p>(c) An act or event that creates a right to immediate performance of the principal obligation represented by a security certificate or sets a date on or after which the certificate is to be presented or surrendered for redemption or exchange does not itself constitute notice of an adverse claim except in the case of a transfer more than:</p><p>(1) one year after a date set for presentment or surrender for redemption or exchange; or</p><p>(2) six months after a date set for payment of money against presentation or surrender of the certificate, if money was available for payment on that date.</p><p>(d) A purchaser of a certificated security has notice of an adverse claim if the security certificate:</p><p>(1) whether in bearer or registered form, has been endorsed "for collection" or "for surrender" or for some other purpose not involving transfer; or</p><p>(2) is in bearer form and has on it an unambiguous statement that it is the property of a person other than the transferor, but the mere writing of a name on the certificate is not such a statement.</p><p>(e) Filing of a financing statement under Title 8.9A is not notice of an adverse claim to a financial asset.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-106|Control.|<p>(a) A purchaser has "control" of a certificated security in bearer form if the certificated security is delivered to the purchaser.</p><p>(b) A purchaser has "control" of a certificated security in registered form if the certificated security is delivered to the purchaser, and:</p><p>(1) the certificate is endorsed to the purchaser or in blank by an effective endorsement; or</p><p>(2) the certificate is registered in the name of the purchaser, upon original issue or registration of transfer by the issuer.</p><p>(c) A purchaser has "control" of an uncertificated security if:</p><p>(1) the uncertificated security is delivered to the purchaser; or</p><p>(2) the issuer has agreed that it will comply with instructions originated by the purchaser without further consent by the registered owner.</p><p>(d) A purchaser has "control" of a security entitlement if:</p><p>(1) the purchaser becomes the entitlement holder;</p><p>(2) the securities intermediary has agreed that it will comply with entitlement orders originated by the purchaser without further consent by the entitlement holder; or</p><p>(3) another person has control of the security entitlement on behalf of the purchaser or, having previously acquired control of the security entitlement, acknowledges that it has control on behalf of the purchaser.</p><p>(e) If an interest in a security entitlement is granted by the entitlement holder to the entitlement holder's own securities intermediary, the securities intermediary has control.</p><p>(f) A purchaser who has satisfied the requirements of subsection (c) or (d) has control even if the registered owner in the case of subsection (c) or the entitlement holder in the case of subsection (d) retains the right to make substitutions for the uncertificated security or security entitlement, to originate instructions or entitlement orders to the issuer or securities intermediary, or otherwise to deal with the uncertificated security or security entitlement.</p><p>(g) An issuer or a securities intermediary may not enter into an agreement of the kind described in subsection (c) (2) or (d) (2) without the consent of the registered owner or entitlement holder, but an issuer or a securities intermediary is not required to enter into such an agreement even though the registered owner or entitlement holder so directs. An issuer or securities intermediary that has entered into such an agreement is not required to confirm the existence of the agreement to another party unless requested to do so by the registered owner or entitlement holder.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>; 2000, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP1007'>1007</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-107|Whether endorsement, instruction or entitlement order is effective.|<p>(a) "Appropriate person" means:</p><p>(1) with respect to an endorsement, the person specified by a security certificate or by an effective special endorsement to be entitled to the security;</p><p>(2) with respect to an instruction, the registered owner of an uncertificated security;</p><p>(3) with respect to an entitlement order, the entitlement holder;</p><p>(4) if the person designated in paragraph (1), (2), or (3) is deceased, the designated person's successor taking under other law or the designated person's personal representative acting for the estate of the decedent; or</p><p>(5) if the person designated in paragraph (1), (2), or (3) lacks capacity, the designated person's guardian, conservator, or other similar representative who has power under other law to transfer the security or financial asset.</p><p>(b) An endorsement, instruction, or entitlement order is effective if:</p><p>(1) it is made by the appropriate person;</p><p>(2) it is made by a person who has power under the law of agency to transfer the security or financial asset on behalf of the appropriate person, including, in the case of an instruction or entitlement order, a person who has control under § <a href='http://law.lis.virginia.gov/vacode/8.8A-106/'>8.8A-106</a> (c) (2) or (d) (2); or</p><p>(3) the appropriate person has ratified it or is otherwise precluded from asserting its ineffectiveness.</p><p>(c) An endorsement, instruction, or entitlement order made by a representative is effective even if:</p><p>(1) the representative has failed to comply with a controlling instrument or with the law of the state having jurisdiction of the representative relationship, including any law requiring the representative to obtain court approval of the transaction; or</p><p>(2) the representative's action in making the endorsement, instruction, or entitlement order or using the proceeds of the transaction is otherwise a breach of duty.</p><p>(d) If a security is registered in the name of or specially endorsed to a person described as a representative, or if a securities account is maintained in the name of a person described as a representative, an endorsement, instruction, or entitlement order made by the person is effective even though the person is no longer serving in the described capacity.</p><p>(e) Effectiveness of an endorsement, instruction, or entitlement order is determined as of the date the endorsement, instruction, or entitlement order is made, and an endorsement, instruction, or entitlement order does not become ineffective by reason of any later change of circumstances.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-108|Warranties in direct holding.|<p>(a) A person who transfers a certificated security to a purchaser for value warrants to the purchaser, and an endorser, if the transfer is by endorsement, warrants to any subsequent purchaser, that:</p><p>(1) the certificate is genuine and has not been materially altered;</p><p>(2) the transferor or endorser does not know of any fact that might impair the validity of the security;</p><p>(3) there is no adverse claim to the security;</p><p>(4) the transfer does not violate any restriction on transfer;</p><p>(5) if the transfer is by endorsement, the endorsement is made by an appropriate person, or if the endorsement is by an agent, the agent has actual authority to act on behalf of the appropriate person; and</p><p>(6) the transfer is otherwise effective and rightful.</p><p>(b) A person who originates an instruction for registration of transfer of an uncertificated security to a purchaser for value warrants to the purchaser that:</p><p>(1) the instruction is made by an appropriate person, or if the instruction is by an agent, the agent has actual authority to act on behalf of the appropriate person;</p><p>(2) the security is valid;</p><p>(3) there is no adverse claim to the security; and</p><p>(4) at the time the instruction is presented to the issuer:</p><p>(i) the purchaser will be entitled to the registration of transfer;</p><p>(ii) the transfer will be registered by the issuer free from all liens, security interests, restrictions, and claims other than those specified in the instruction;</p><p>(iii) the transfer will not violate any restriction on transfer; and</p><p>(iv) the requested transfer will otherwise be effective and rightful.</p><p>(c) A person who transfers an uncertificated security to a purchaser for value and does not originate an instruction in connection with the transfer warrants that:</p><p>(1) the uncertificated security is valid;</p><p>(2) there is no adverse claim to the security;</p><p>(3) the transfer does not violate any restriction on transfer; and</p><p>(4) the transfer is otherwise effective and rightful.</p><p>(d) A person who endorses a security certificate warrants to the issuer that:</p><p>(1) there is no adverse claim to the security; and</p><p>(2) the endorsement is effective.</p><p>(e) A person who originates an instruction for registration of transfer of an uncertificated security warrants to the issuer that:</p><p>(1) the instruction is effective; and</p><p>(2) at the time the instruction is presented to the issuer the purchaser will be entitled to the registration of transfer.</p><p>(f) A person who presents a certificated security for registration of transfer or for payment or exchange warrants to the issuer that the person is entitled to the registration, payment, or exchange, but a purchaser for value and without notice of adverse claims to whom transfer is registered warrants only that the person has no knowledge of any unauthorized signature in a necessary endorsement.</p><p>(g) If a person acts as agent of another in delivering a certificated security to a purchaser, the identity of the principal was known to the person to whom the certificate was delivered, and the certificate delivered by the agent was received by the agent from the principal or received by the agent from another person at the direction of the principal, the person delivering the security certificate warrants only that the delivering person has authority to act for the principal and does not know of any adverse claim to the certificated security.</p><p>(h) A secured party who redelivers a security certificate received, or after payment and on order of the debtor delivers the security certificate to another person, makes only the warranties of an agent under subsection (g).</p><p>(i) Except as otherwise provided in subsection (g), a broker acting for a customer makes to the issuer and a purchaser the warranties provided in subsections (a) through (f). A broker that delivers a security certificate to its customer, or causes its customer to be registered as the owner of an uncertificated security, makes to the customer the warranties provided in subsection (a) or (b), and has the rights and privileges of a purchaser under this section. The warranties of and in favor of the broker acting as an agent are in addition to applicable warranties given by and in favor of the customer.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-109|Warranties in indirect holding.|<p>(a) A person who originates an entitlement order to a securities intermediary warrants to the securities intermediary that:</p><p>(1) the entitlement order is made by an appropriate person, or if the entitlement order is by an agent, the agent has actual authority to act on behalf of the appropriate person; and</p><p>(2) there is no adverse claim to the security entitlement.</p><p>(b) A person who delivers a security certificate to a securities intermediary for credit to a securities account or originates an instruction with respect to an uncertificated security directing that the uncertificated security be credited to a securities account makes to the securities intermediary the warranties specified in § <a href='http://law.lis.virginia.gov/vacode/8.8A-108/'>8.8A-108</a> (a) or (b).</p><p>(c) If a securities intermediary delivers a security certificate to its entitlement holder or causes its entitlement holder to be registered as the owner of an uncertificated security, the securities intermediary makes to the entitlement holder the warranties specified in § <a href='http://law.lis.virginia.gov/vacode/8.8A-108/'>8.8A-108</a> (a) or (b).</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>.</p>
8.8A|COMMERCIAL CODE — INVESTMENT SECURITIES|||1|SHORT TITLE AND GENERAL MATTERS|||||||§ 8.8A-110|Applicability; choice of law.|<p>(a) The local law of the issuer's jurisdiction, as specified in subsection (d), governs:</p><p>(1) the validity of a security;</p><p>(2) the rights and duties of the issuer with respect to registration of transfer;</p><p>(3) the effectiveness of registration of transfer by the issuer;</p><p>(4) whether the issuer owes any duties to an adverse claimant to a security; and</p><p>(5) whether an adverse claim can be asserted against a person to whom transfer of a certificated or uncertificated security is registered or a person who obtains control of an uncertificated security.</p><p>(b) The local law of the securities intermediary's jurisdiction, as specified in subsection (e), governs:</p><p>(1) acquisition of a security entitlement from the securities intermediary;</p><p>(2) the rights and duties of the securities intermediary and entitlement holder arising out of a security entitlement;</p><p>(3) whether the securities intermediary owes any duties to an adverse claimant to a security entitlement; and</p><p>(4) whether an adverse claim can be asserted against a person who acquires a security entitlement from the securities intermediary or a person who purchases a security entitlement or interest therein from an entitlement holder.</p><p>(c) The local law of the jurisdiction in which a security certificate is located at the time of delivery governs whether an adverse claim can be asserted against a person to whom the security certificate is delivered.</p><p>(d) "Issuer's jurisdiction" means the jurisdiction under which the issuer of the security is organized or, if permitted by the law of that jurisdiction, the law of another jurisdiction specified by the issuer. An issuer organized under the law of this state may specify the law of another jurisdiction as the law governing the matters specified in subsection (a) (2) through (5).</p><p>(e) The following rules determine a "securities intermediary's jurisdiction" for purposes of this section:</p><p>(1) If an agreement between the securities intermediary and its entitlement holder governing the securities account expressly provides that a particular jurisdiction is the securities intermediary's jurisdiction for purposes of this part, this title or the Uniform Commercial Code, that jurisdiction is the securities intermediary's jurisdiction.</p><p>(2) If paragraph (1) does not apply and an agreement between the securities intermediary and its entitlement holder governing the securities account expressly provides that the agreement is governed by the law of a particular jurisdiction, that jurisdiction is the securities intermediary's jurisdiction.</p><p>(3) If neither paragraph (1) nor paragraph (2) applies and an agreement between the securities intermediary and its entitlement holder governing the securities account expressly provides that the securities account is maintained at an office in a particular jurisdiction, that jurisdiction is the securities intermediary's jurisdiction.</p><p>(4) If none of the preceding paragraphs applies, the securities intermediary's jurisdiction is the jurisdiction in which the office identified in an account statement as the office serving the entitlement holder's account is located.</p><p>(5) If none of the preceding paragraphs applies the securities intermediary's jurisdiction is the jurisdiction in which the chief executive office of the securities intermediary is located.</p><p>(f) A securities intermediary's jurisdiction is not determined by the physical location of certificates representing financial assets, or by the jurisdiction in which is organized the issuer of the financial asset with respect to which an entitlement holder has a security entitlement, or by the location of facilities for data processing or other record keeping concerning the account.</p><p>1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0216'>216</a>; 2000, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP1007'>1007</a>.</p>
