41.1|LAND OFFICE|||||||||||§ 41.1-1|Librarian of Virginia in charge of Land Office.|<p>The Librarian of Virginia shall be in charge of and keep and preserve all records of the Land Office.</p><p>Code 1950, § 41-1; 1952, c. 185; 1970, c. 291; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0427'>427</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-2|Act changing name of Denny Martin taken as true; records, etc., of Northern Neck and other lands.|<p>In all suits, either at law or in equity, in which title to any land is derived or sought to be derived from Lord Fairfax, through Denny Martin Fairfax, it shall not be necessary in order to make out a chain of title, to prove the act of Parliament authorizing Denny Martin, the devisee of Lord Fairfax, to take the name of Fairfax, but the same shall be presumed and taken to be true to the same extent as if a properly authenticated copy of such act had been adduced in evidence.</p><p>The records, documents, and entries of land granted by the former lord proprietor of the Northern Neck, and of all land granted, or to be granted, by the Commonwealth, shall be in the keeping of the Librarian of Virginia in the Land Office in the City of Richmond.</p><p>Code 1950, § 41-2; 1970, c. 291; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0427'>427</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-3|Grants of certain lands, etc., to be void; such lands, etc., under control of Governor.|<p>No grant shall be valid or effectual in law to pass any estate or interest in (i) any lands unappropriated or belonging to the Commonwealth, which embrace the old magazine at Westham, or any stone quarry now worked by the Commonwealth, or any lands which are within a mile of such magazine, or any such quarry; (ii) any ungranted beds of bays, rivers, creeks and the shores of the sea under § <a href='http://law.lis.virginia.gov/vacode/28.2-1200/'>28.2-1200</a>; (iii) any natural oyster bed, rock, or shoal, whether such bed, rock, or shoal shall ebb bare or not; (iv) any islands created in the navigable waters of the Commonwealth through the instrumentality of dredging or filling operations; (v) any islands which rise from any lands which are property of the Commonwealth under § <a href='http://law.lis.virginia.gov/vacode/28.2-1201/'>28.2-1201</a>; or (vi) any ungranted shores of the sea, marsh or meadowlands as defined in § <a href='http://law.lis.virginia.gov/vacode/28.2-1500/'>28.2-1500</a>. Every such grant for any such lands, islands, bed, rock, or shoal shall be absolutely void; however, this section shall not be construed to affect the title to grants issued prior to March 15, 1932. Such magazine and every such stone quarry and the lands of the Commonwealth adjacent to or in their neighborhood, shall be under the control of the Governor, who may make such regulations concerning the same as he may deem best for the interests of the Commonwealth.</p><p>Code 1950, § 41-8; 1970, c. 291; 1991, c. 378; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0850'>850</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-4|Repealed.|<p>Repealed by Acts 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0850'>850</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-4.1|Repealed.|<p>Repealed by Acts 1992, c. 836.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-5|Circuit courts authorized to dispose of waste and unappropriated lands.|<p>The circuit courts of the counties and cities in which waste and unappropriated lands are alleged to lie are vested with authority to sell and dispose thereof in proceedings brought under §§ <a href='http://law.lis.virginia.gov/vacode/41.1-16/'>41.1-16</a> through <a href='http://law.lis.virginia.gov/vacode/41.1-20/'>41.1-20</a>; however, no sale or disposition shall be made of lands mentioned in § <a href='http://law.lis.virginia.gov/vacode/28.2-1200/'>28.2-1200</a> or of lands as to which a grant could not have been issued by the Librarian of Virginia under § <a href='http://law.lis.virginia.gov/vacode/41.1-3/'>41.1-3</a>.</p><p>Code 1950, § 41-8.2; 1952, c. 185; 1970, c. 291; 1991, c. 378; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0850'>850</a>; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0427'>427</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-6|Ratification of grants issued pursuant to § 41.1-3.|<p>Any grants for land heretofore issued by the Librarian of Virginia pursuant to § <a href='http://law.lis.virginia.gov/vacode/41.1-3/'>41.1-3</a> are hereby ratified and confirmed and title is confirmed in the grantees thereof.</p><p>Code 1950, § 41-8.3; 1966, c. 427; 1970, c. 291; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0427'>427</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-7|Copies of unsigned grants admissible in evidence; Commonwealth's right relinquished when certain taxes paid; correction of record.|<p>Where the records in the Land Office disclose the fact that the land warrants used as the foundation for a grant of any of the public lands of the Commonwealth, subject to grant, were fully paid for and that the right to such grant was finally and fully completed in the manner prescribed by law and a grant therefor made out and spread upon the record book in the Land Office, in due form of law and regular in every respect only that the name of the then Governor of Virginia was not recorded at the foot thereof on the record book, it shall be the duty of the Librarian of Virginia, upon the request of any person interested, to furnish a copy of such grant as it appears of record in the Land Office, together with a certificate to the effect that the land warrants upon which such grant was founded, were fully paid for; that the right to such grant had been finally and fully completed in the manner prescribed by law, and that the grant was regular in every respect except only that the signature of the Governor did not appear at the foot thereof on the record. Such copy and certificate shall be received in evidence in any legal proceeding in which the title to the land described in such grant, or any part thereof, is brought in controversy, and shall be prima facie evidence of title to such land; and when the land embraced in such grant, or any part thereof, shall have been regularly on the proper land books and the taxes and levies regularly assessed thereon and paid by the claimants thereof, claiming under such grant, for a continuous period of ten years, any title which may rest in the Commonwealth, to so much of the land as has been so on the land books and upon which the taxes and levies shall have been so paid, shall be relinquished to the person so claiming the same, and any such claimant of such land, on which the taxes and levies shall have been so paid, may file a petition in the circuit court of the county or city in which such land lies, after ten days' notice in writing to the attorney for the Commonwealth for such county or city who shall appear and defend the same on behalf of the Commonwealth and the county or city; and upon satisfactory proof of the fact that such land has so been on the land books of the county or city and all the taxes and levies regularly paid thereon for the period of time hereinbefore specified, and the production before the court of the copy of such grant and the certificate of the Librarian of Virginia, hereinbefore provided for, the court shall make an order which shall recite and set forth all of such facts so proved and shown, which order, when so made and entered of record on the proper order book of the court, shall operate to effectually relinquish to the person so claiming such land through and under such grant, whatever right and title may rest in the Commonwealth, thereto; and a copy of such order shall be conclusive evidence of the better right of the claimant under such grant, in any caveat proceeding, or in any other controversy between such claimant and any other person claiming under a location of such land or any part thereof, made after the date of such order.</p><p>But nothing contained in this section shall in any manner affect any right adverse to any person claiming under such grant, which vested prior to June 22, 1926, nor divest the right or title, if any, of any junior grantee of any part of the land embraced within the exterior bounds of such grant, claiming under a junior grant which was regularly issued prior to June 22, 1926, or anyone holding or claiming through or under such junior grantee, but in any controversy between such adverse claimants or junior grantees, or persons claiming or holding through or under them, and any person holding or claiming through or under such grant as is first herein mentioned, the contesting parties shall be left to the strength of their respective rights and titles according to the nature of the case, independent of this section, and just as if it had not been enacted.</p><p>If it shall appear from the original of any such grant as is first hereinbefore referred to, that such original was actually signed by the Governor, the Librarian of Virginia shall, upon the presentation to him in the Land Office, of such original grant so signed, correct the record thereof so as to conform to such original grant, and affix thereto the date of such correction and a certificate of the fact that such original, duly signed by the Governor, had been presented to him.</p><p>Code 1950, § 41-9; 1970, c. 291; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0427'>427</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-8|When grant invalid; when Commonwealth's right relinquished to land settled on.|<p>No grant of any land which shall have been settled continuously for five years previously, upon which taxes shall have been paid at any time within such five years by the person having settled the same, or any person claiming under him, shall be valid; and any title which the Commonwealth may have to such land shall be relinquished to the person in possession of the land claiming the same under such settlement and payment to the extent of the boundary line enclosing the same. But such boundary line shall not include more than 1,500 acres; and any person who has made such settlement and paid such taxes, or anyone claiming under him, may have the land surveyed, and prove the settlement and payment before the circuit court of the county where the land, or a greater part thereof, lies, whereupon such court shall order the plat and certificate of survey to be recorded. Such record shall be conclusive evidence in any controversy between the claimant thereunder and any person claiming under a location of the land made after the date of such order. This section shall relate as well to land forfeited for nonpayment of taxes, or for the failure to have the same entered on the commissioner's books, or both those causes, and to land escheated or escheatable, as to waste and unappropriated lands.</p><p>Code 1950, § 41-39; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-9|Lost records and papers in chains of title; bill in equity to establish ownership.|<p>If any record or paper constituting a link in the chain of title to any tract or parcel of land in this Commonwealth, has been or shall be lost or destroyed, and no authenticated copy thereof can be found, it shall be lawful for the person or persons, claiming the ownership of such tract or parcel of land, to file in the circuit court of the county, or circuit court of the city, in which such land, or the greater part thereof, is situated, a bill in equity, setting forth the circumstances of such loss or destruction, and giving a history of the title and possession of such tract or parcel of land, and a full description thereof, with the names of the persons in possession of the conterminous parcels. All persons appearing to have an interest in such lands, or to be in possession thereof, or of any adjoining parcel, shall be either plaintiffs or defendants, and the proceedings to mature the cause shall be the same as in other suits in equity, except that in every case there shall be an order of publication, setting forth briefly the purpose of the proceeding and notifying all persons interested to appear and look after their interests.</p><p>Code 1950, § 41-68; 1970, c. 291.</p>
